"","ntype","x","y","z"
"ADAL","inter",0.04127375,1.3125e-05,0.004510625
"ADAR","inter",0.03990875,-0.000625625,-0.0050925
"ADEL","modulatory",0.038486875,-5.25e-05,0.00459375
"ADER","modulatory",0.036413125,-0.00025375,-0.005018125
"ADFL","sensory",0.02370375,0.00371,0.0030625
"ADFR","sensory",0.023900625,0.003128125,-0.003885
"ADLL","sensory",0.025869375,0.005271875,0.00168875
"ADLR","sensory",0.025725,0.00497875,-0.00277375
"AFDL","sensory",0.023349375,0.002620625,0.003276875
"AFDR","sensory",0.023235625,0.002498125,-0.004020625
"AIAL","inter",0.02919875,-0.002043125,0.00028875
"AIAR","inter",0.029456875,-0.002069375,-0.000433125
"AIBL","inter",0.024276875,0.001106875,0.002603125
"AIBR","inter",0.02447375,0.001141875,-0.002900625
"AIML","modulatory",0.034698125,-0.002961875,0.001255625
"AIMR","modulatory",0.030883125,-0.002191875,-0.0015225
"AINL","inter",0.02984625,0.00289625,0.004239375
"AINR","inter",0.02947875,0.003066875,-0.0047425
"AIYL","inter",0.03124625,-0.001925,0.00233625
"AIYR","inter",0.026000625,-0.000651875,-0.00049
"AIZL","inter",0.0301525,0.001106875,0.00349125
"AIZR","inter",0.029535625,0.0007525,-0.0037975
"ALA","modulatory",0.02242625,0.00672,-0.000945
"ALML","sensory",0.147651875,0.005158125,-0.00518875
"ALMR","sensory",0.13706,0.008745625,0.004764375
"ASEL","sensory",0.02681875,0.002375625,0.003749375
"ASER","sensory",0.02666125,0.00237125,-0.004536875
"ASGL","sensory",0.02624125,0.00378875,0.003066875
"ASGR","sensory",0.026315625,0.0035,-0.00359625
"ASHL","sensory",0.02555875,0.001841875,0.003653125
"ASHR","sensory",0.025300625,0.001666875,-0.0044625
"ASIL","sensory",0.02771125,0.00443625,0.0025375
"ASIR","sensory",0.02774625,0.0042525,-0.0031325
"ASJL","sensory",0.02802625,-8.75e-06,0.0024675
"ASJR","sensory",0.028004375,-0.0004725,-0.002620625
"ASKL","sensory",0.023944375,0.00525,0.0019425
"ASKR","sensory",0.023813125,0.00489125,-0.002765
"AUAL","sensory",0.026648125,0.0003675,0.0036575
"AUAR","sensory",0.0265825,9.625e-05,-0.004213125
"AVHL","modulatory",0.0274225,0.004221875,0.003434375
"AVHR","modulatory",0.02748375,0.00392,-0.004274375
"AVJL","inter",0.0284725,0.003119375,0.003705625
"AVJR","inter",0.028494375,0.003303125,-0.004195625
"AVKL","modulatory",0.038233125,-0.00259875,0.00167125
"AVKR","modulatory",0.03311,-0.0024675,-0.001386875
"AVL","modulatory",0.03098375,-0.002130625,0.000161875
"AWAL","sensory",0.02519125,0.002874375,0.002559375
"AWAR","sensory",0.0250425,0.002856875,-0.003486875
"AWBL","sensory",0.025095,0.00363125,0.0037275
"AWBR","sensory",0.0251125,0.00354375,-0.004484375
"AWCL","sensory",0.02442125,0.0013125,0.003950625
"AWCR","sensory",0.024688125,0.00076125,-0.004160625
"BAGL","sensory",0.016926875,0.002489375,0.00373625
"BAGR","sensory",0.017250625,0.00177625,-0.003605
"BDUL","inter",0.081475625,0.0033425,-0.004431875
"BDUR","inter",0.081081875,0.005035625,0.003443125
"CEPDL","modulatory",0.02169125,0.00595875,0.00161875
"CEPDR","modulatory",0.0219975,0.00564375,-0.003093125
"CEPVL","modulatory",0.01721125,0.000450625,0.00200375
"CEPVR","modulatory",0.0177975,0.000441875,-0.00193375
"DVA","sensory",0.3372425,0.004795,-0.000704375
"DVC","modulatory",0.33812625,0.005184375,0.000678125
"FLPL","sensory",0.035485625,8.75e-06,0.00462875
"FLPR","sensory",0.0327775,0.000100625,-0.00497
"IL1DL","motor",0.014310625,0.00574,0.00095375
"IL1DR","motor",0.0148225,0.00534625,-0.002008125
"IL1L","motor",0.013335,0.003163125,0.00305375
"IL1R","motor",0.013549375,0.0024675,-0.003045
"IL1VL","motor",0.01266125,0.0007175,0.0016275
"IL1VR","motor",0.0129675,0.00042,-0.0007525
"IL2DL","sensory",0.010591875,0.00539875,0.00189875
"IL2DR","sensory",0.011563125,0.005446875,-0.0029225
"IL2L","sensory",0.01308125,0.003469375,0.004003125
"IL2R","sensory",0.013195,0.002891875,-0.00385
"IL2VL","sensory",0.011090625,0.00093625,0.00221375
"IL2VR","sensory",0.0124075,0.000275625,-0.00182
"OLLL","sensory",0.01371125,0.004396875,0.00265125
"OLLR","sensory",0.014245,0.003758125,-0.003154375
"OLQDL","sensory",0.016428125,0.00622125,0.000945
"OLQDR","sensory",0.01693125,0.005858125,-0.002463125
"OLQVL","sensory",0.01603875,0.001719375,0.002695
"OLQVR","sensory",0.01630125,0.001360625,-0.00258125
"PVCL","inter",0.34012125,0.002848125,0.002121875
"PVCR","inter",0.33956125,0.00261625,-0.002270625
"PVPL","inter",0.320184375,-0.001430625,0.000468125
"PVPR","inter",0.322485625,-0.000791875,-0.001115625
"PVQL","modulatory",0.33546625,0.00263375,0.002804375
"PVQR","modulatory",0.335685,0.002673125,-0.002445625
"PVR","inter",0.344185625,0.003530625,-0.0016975
"PVT","inter",0.319921875,-0.00126875,-0.000809375
"RIAL","inter",0.022404375,0.00436625,0.002515625
"RIAR","inter",0.02260125,0.003994375,-0.0032025
"RIBL","inter",0.0271425,0.001343125,0.00263375
"RIBR","inter",0.026985,0.00100625,-0.0029575
"RICL","modulatory",0.030996875,0.0001225,0.003513125
"RICR","modulatory",0.030611875,-8.75e-05,-0.003600625
"RIFL","inter",0.04332125,-0.00356125,0.001010625
"RIFR","inter",0.046554375,-0.003959375,-0.000748125
"RIGL","inter",0.050168125,-0.003819375,0.000748125
"RIGR","inter",0.051498125,-0.003906875,0.000100625
"RIH","inter",0.020584375,-0.000301875,-3.5e-05
"RIML","inter",0.027820625,-0.000275625,0.001946875
"RIMR","inter",0.027405,-0.000870625,-0.002034375
"RIR","inter",0.02366875,0.0003325,0.0006125
"RIS","modulatory",0.038469375,-0.00336,0.000153125
"RIVL","motor",0.028013125,0.005215,0.001938125
"RIVR","motor",0.02816625,0.004948125,-0.003154375
"RMDDL","motor",0.02440375,8.75e-05,0.001710625
"RMDDR","motor",0.02452625,-0.00020125,-0.001015
"RMDL","motor",0.0222075,0.0014525,0.00357875
"RMDR","motor",0.022885625,0.000818125,-0.0034475
"RMDVL","motor",0.020706875,0.00310625,0.00427
"RMDVR","motor",0.02128875,0.002314375,-0.004466875
"RMED","motor",0.01756125,0.00678125,-0.00119
"RMER","motor",0.0169575,0.0031325,-0.003443125
"RMEV","motor",0.01953875,-0.000118125,0.000511875
"RMGL","modulatory",0.042905625,-0.000196875,0.00401625
"RMGR","modulatory",0.0421925,-0.000643125,-0.004519375
"SAADL","sensory",0.02338,-0.00039375,0.000634375
"SAADR","sensory",0.021993125,-0.00037625,-0.000170625
"SAAVL","sensory",0.021459375,0.004256875,0.00301
"SAAVR","sensory",0.02158625,0.003605,-0.003513125
"SMBDL","motor",0.026158125,-0.000809375,0.0010675
"SMBDR","motor",0.02634625,-0.000634375,-0.00083125
"SMBVL","motor",0.027444375,-0.00126,0.001553125
"SMBVR","motor",0.029439375,-0.00195125,-0.000704375
"SMDDL","motor",0.02235625,-0.00021,0.00107625
"SMDDR","motor",0.02366875,4.375e-06,-0.001176875
"SMDVL","motor",0.022395625,0.0047775,0.003189375
"SMDVR","motor",0.022325625,0.004003125,-0.00406
"URADL","motor",0.013426875,0.005481875,0.00196875
"URADR","motor",0.0137025,0.0049175,-0.00282625
"URAVL","motor",0.014686875,0.001028125,0.00207375
"URAVR","motor",0.015299375,0.00105875,-0.001684375
"URBL","sensory",0.014896875,0.003294375,0.003679375
"URBR","sensory",0.014993125,0.002716875,-0.003784375
"URXL","sensory",0.022159375,0.005709375,0.000993125
"URXR","sensory",0.022255625,0.00538125,-0.00226625
"URYDL","sensory",0.0150325,0.00539,0.00203
"URYDR","sensory",0.01540875,0.004725,-0.00303625
"URYVL","sensory",0.01430625,0.00224,0.002935625
"URYVR","sensory",0.01448125,0.00149625,-0.002646875
"AVAR","inter",0.022308125,0.002095625,-0.003994375
"AVBL","inter",0.02788625,0.00223125,0.003115
"AVBR","inter",0.027426875,0.002113125,-0.004116875
"AVDR","inter",0.028634375,0.00224875,-0.004633125
"RID","modulatory",0.021004375,0.006873125,-0.001308125
"AVAL","inter",0.0219625,0.00293125,0.003679375
"AVDL","inter",0.02858625,0.002340625,0.003985625
"SIBDL","motor",0.02349375,0.00056,0.002734375
"SIBVL","motor",0.02604875,-0.001089375,0.00119875
"AVER","inter",0.022763125,0.001588125,-0.002664375
"AVEL","inter",0.0223475,0.00200375,0.00261625
"SIBDR","motor",0.02384375,0.000625625,-0.00294
"SIBVR","motor",0.02338875,-0.0006825,-0.000555625
"SIADL","motor",0.02436,-0.000721875,0.000966875
"SIADR","motor",0.023305625,-0.000975625,-0.000695625
"RIPL","inter",0.01544375,0.003486875,0.002786875
"RMEL","motor",0.016638125,0.003810625,0.00322
"RIPR","inter",0.0156275,0.003110625,-0.00287
"SIAVL","motor",0.029220625,-0.001474375,0.001456875
"SIAVR","motor",0.0304675,-0.0021525,-0.00091875
